z,dL
0.03334,139.4636262474203
0.03668,153.90002003516292
0.04002,168.40914331820875
0.043359999999999996,182.99077853466872
0.0467,197.64470802917464
0.05004,212.370714062205
0.05338,227.16857881937113
0.05671999999999999,242.03808442066173
0.06006,256.9790129296456
0.0634,271.9911463626308
0.06674,287.07426669777897
0.07008,302.22815588417524
0.07342,317.4525958508497
0.07676,332.74736851575346
0.08009999999999999,348.1122557946836
0.08343999999999999,363.5470396101609
0.08678,379.0515019002547
0.09012,394.6254246273581
0.09345999999999999,410.268589786909
0.0968,425.98077941605897
0.10013999999999999,441.761775602287
0.10347999999999999,457.6113604919578
0.10682,473.5293162988255
0.11016,489.51542531247816
0.1135,505.5694699067269
0.11684,521.6912325479343
0.12018,537.8804958032856
0.12351999999999999,554.137042348998
0.12686,570.4606549784704
0.13019999999999998,586.851116610371
0.13354,603.3082102966634
0.13688,619.8317192305688
0.14022,636.4214267544651
0.14356000000000002,653.0771163677226
0.14689999999999998,669.7985717344742
0.15023999999999998,686.5855766913202
0.15358,703.4379152549669
0.15691999999999998,720.3553716298001
0.16025999999999999,737.33773021539
0.1636,754.3847756139298
0.16694,771.4962926376048
0.17028,788.6720663158956
0.17362,805.9118819028088
0.17695999999999998,823.2155248840417
0.1803,840.5827809840754
0.18364,858.0134361731982
0.18697999999999998,875.5072766744586
0.19032,893.0640889705467
0.19366,910.6836598106053
0.197,928.365776216969
0.20034,946.1102254918322
0.20368,963.9167952238427
0.20701999999999998,981.7852732946263
0.21036,999.7154478852356
0.2137,1017.7071074825284
0.21703999999999998,1035.760040885471
0.22038,1053.87403721137
0.22372,1072.0488859020302
0.22706,1090.284376729837
0.23039999999999997,1108.5802998037686
0.23373999999999998,1126.9364455753307
0.23707999999999999,1145.3526048444212
0.24042,1163.8285687651162
0.24375999999999998,1182.3641288513868
0.2471,1200.959076982737
0.25044,1219.6132054097718
0.25378,1238.3263067596872
0.25712,1257.0981740416892
0.26045999999999997,1275.9286006523366
0.2638,1294.817380380809
0.26714,1313.7643074141045
0.27048,1332.769176342157
0.27381999999999995,1351.831782162886
0.27715999999999996,1370.9519202871675
0.28049999999999997,1390.1293865437333
0.28384,1409.3639771839978
0.28718,1428.6554888868068
0.29052,1448.0037187631165
0.29386,1467.4084643605981
0.2972,1486.869523668171
0.3005399999999999,1506.386695120457
0.30388000000000004,1525.9597776021692
0.30721999999999994,1545.5885704524237
0.31055999999999995,1565.2728734689792
0.31389999999999996,1585.0124869124054
0.31723999999999997,1604.8072115101809
0.32058,1624.656848460714
0.32392,1644.5611994372982
0.32726,1664.520066591992
0.3306,1684.533252559431
0.33394,1704.6005604605664
0.33728,1724.721793906335
0.34062000000000003,1744.8967570012583
0.34395999999999993,1765.1252543469727
0.34730000000000005,1785.4070910456885
0.35063999999999995,1805.742072703582
0.35397999999999996,1826.130005434115
0.35731999999999997,1846.570695861294
0.36066,1867.0639511228499
0.364,1887.6095788733583
0.36734,1908.2073872872913
0.37068,1928.8571850620008
0.37402,1949.5587814206326
0.37736000000000003,1970.31198611498
0.38070000000000004,1991.1166094282694
0.38403999999999994,2011.9724621778785
0.38737999999999995,2032.8793557179908
0.39071999999999996,2053.837101942187
0.39405999999999997,2074.8455132859713
0.3974,2095.9044027292325
0.40074,2117.013583798644
0.40408,2138.172870570002
0.40742,2159.3820776704956
0.41076,2180.641020280924
0.4140999999999999,2201.949514137843
0.41744000000000003,2223.3073755356586
0.42077999999999993,2244.714421328654
0.42412000000000005,2266.1704689329613
0.42745999999999995,2287.675336328469
0.43079999999999996,2309.2288420606737
0.43413999999999997,2330.8308052424754
0.43748,2352.4810455559073
0.44082,2374.1793832538165
0.44416,2395.9256391614817
0.4475,2417.7196346781766
0.45084,2439.561191778677
0.45418000000000003,2461.4501330147145
0.4575199999999999,2483.3862815163707
0.46085999999999994,2505.369460993419
0.46419999999999995,2527.399495736616
0.46753999999999996,2549.4762106189305
0.47087999999999997,2571.599431096732
0.47422,2593.7689832109136
0.47756,2615.984693587972
0.4809,2638.246389441034
0.48424,2660.553898570829
0.48758,2682.9070493666154
0.4909199999999999,2705.305670807056
0.49426000000000003,2727.74959246104
0.49759999999999993,2750.238644488462
0.50094,2772.7726576409486
0.50428,2795.3514632625443
0.50762,2817.974893290335
0.51096,2840.642780255044
0.5143,2863.354957281567
0.51764,2886.1112580894696
0.52098,2908.911516993435
0.52432,2931.7555689036703
0.52766,2954.643249326268
0.531,2977.5743943635234
0.53434,3000.548840714209
0.5376799999999999,3023.566425673804
