z,H
0.03334,73.89738041310245
0.03668,73.99020982497711
0.04002,74.08352188267597
0.043359999999999996,74.17731669211365
0.0467,74.2715943492583
0.05004,74.36635494018803
0.05338,74.46159854114805
0.05671999999999999,74.55732521860817
0.06006,74.65353502932078
0.0634,74.75022802037958
0.06674,74.84740422927841
0.07008,74.94506368397097
0.07342,75.04320640293066
0.07676,75.14183239521103
0.08009999999999999,75.24094166050665
0.08343999999999999,75.34053418921441
0.08678,75.44060996249513
0.09012,75.54116895233577
0.09345999999999999,75.6422111216118
0.0968,75.74373642415014
0.10013999999999999,75.84574480479233
0.10347999999999999,75.94823619945808
0.10682,76.05121053520921
0.11016,76.15466773031393
0.1135,76.25860769431127
0.11684,76.36303032807604
0.12018,76.46793552388392
0.12351999999999999,76.57332316547698
0.12686,76.67919312812917
0.13019999999999998,76.7855452787125
0.13354,76.89237947576308
0.13688,76.99969556954764
0.14022,77.10749340213007
0.14356000000000002,77.21577280743844
0.14689999999999998,77.3245336113319
0.15023999999999998,77.43377563166801
0.15358,77.5434986783702
0.15691999999999998,77.6537025534952
0.16025999999999999,77.76438705130099
0.1636,77.87555195831452
0.16694,77.98719705339981
0.17028,78.09932210782607
0.17362,78.21192688533597
0.17695999999999998,78.3250111422139
0.1803,78.43857462735454
0.18364,78.55261708233131
0.18697999999999998,78.66713824146491
0.19032,78.78213783189211
0.19366,78.89761557363423
0.197,79.01357117966604
0.20034,79.13000435598451
0.20368,79.24691480167749
0.20701999999999998,79.36430220899253
0.21036,79.48216626340573
0.2137,79.60050664369045
0.21703999999999998,79.71932302198607
0.22038,79.83861506386671
0.22372,79.95838242840992
0.22706,80.07862476826534
0.23039999999999997,80.19934172972324
0.23373999999999998,80.32053295278307
0.23707999999999999,80.4421980712218
0.24042,80.56433671266247
0.24375999999999998,80.68694849864222
0.2471,80.81003304468065
0.25044,80.93358996034772
0.25378,81.05761884933177
0.25712,81.18211930950739
0.26045999999999997,81.3070909330029
0.2638,81.4325333062681
0.26714,81.55844601014154
0.27048,81.68482861991781
0.27381999999999995,81.81168070541452
0.27715999999999996,81.93900183103933
0.28049999999999997,82.06679155585664
0.28384,82.19504943365398
0.28718,82.32377501300853
0.29052,82.45296783735323
0.29386,82.58262744504266
0.2972,82.7127533694188
0.3005399999999999,82.84334513887659
0.30388000000000004,82.97440227692913
0.30721999999999994,83.10592430227275
0.31055999999999995,83.2379107288519
0.31389999999999996,83.37036106592363
0.31723999999999997,83.50327481812205
0.32058,83.63665148552218
0.32392,83.77049056370397
0.32726,83.90479154381579
0.3306,84.03955391263763
0.33394,84.17477715264414
0.33728,84.3104607420674
0.34062000000000003,84.44660415495929
0.34395999999999993,84.58320686125366
0.34730000000000005,84.72026832682809
0.35063999999999995,84.8577880135656
0.35397999999999996,84.99576537941576
0.35731999999999997,85.13419987845559
0.36066,85.2730909609503
0.364,85.41243807341351
0.36734,85.55224065866724
0.37068,85.69249815590159
0.37402,85.83321000073396
0.37736000000000003,85.97437562526817
0.38070000000000004,86.11599445815307
0.38403999999999994,86.25806592464077
0.38737999999999995,86.40058944664477
0.39071999999999996,86.54356444279742
0.39405999999999997,86.68699032850725
0.3974,86.83086651601593
0.40074,86.97519241445482
0.40408,87.11996742990117
0.40742,87.26519096543392
0.41076,87.41086242118921
0.4140999999999999,87.55698119441556
0.41744000000000003,87.70354667952853
0.42077999999999993,87.85055826816512
0.42412000000000005,87.99801534923783
0.42745999999999995,88.14591730898817
0.43079999999999996,88.29426353104004
0.43413999999999997,88.4430533964525
0.43748,88.59228628377235
0.44082,88.74196156908621
0.44416,88.8920786260722
0.4475,89.04263682605131
0.45084,89.19363553803838
0.45418000000000003,89.34507412879266
0.4575199999999999,89.49695196286794
0.46085999999999994,89.64926840266241
0.46419999999999995,89.802022808468
0.46753999999999996,89.9552145385194
0.47087999999999997,90.10884294904265
0.47422,90.26290739430343
0.47756,90.41740722665476
0.4809,90.57234179658451
0.48424,90.72771045276245
0.48758,90.88351254208682
0.4909199999999999,91.03974740973057
0.49426000000000003,91.19641439918723
0.49759999999999993,91.35351285231636
0.50094,91.51104210938854
0.50428,91.66900150913008
0.50762,91.82739038876721
0.51096,91.98620808407001
0.5143,92.14545392939574
0.51764,92.30512725773204
0.52098,92.46522740073942
0.52432,92.62575368879375
0.52766,92.7867054510279
0.531,92.9480820153733
0.53434,93.10988270860105
0.5376799999999999,93.27210685636257
0.5410200000000001,93.43475378322987
0.5443600000000001,93.5978228127354
0.5477,93.76131326741162
0.55104,93.92522446883018
0.55438,94.08955573764038
0.5577200000000001,94.2543063936077
0.56106,94.41947575565172
0.5644,94.58506314188358
0.56774,94.75106786964321
0.5710799999999999,94.917489255536
0.5744199999999999,95.08432661546938
0.57776,95.25157926468856
0.5811000000000001,95.4192465178124
0.58444,95.58732768886838
0.58778,95.75582209132781
0.59112,95.92472903813996
0.59446,96.09404784176628
0.5978,96.26377781421424
0.60114,96.43391826707054
0.60448,96.60446851153411
0.6078199999999999,96.77542785844868
0.61116,96.9467956183352
0.6145,97.11857110142346
0.61784,97.29075361768368
0.62118,97.46334247685769
0.62452,97.63633698848967
0.6278600000000001,97.80973646195655
0.6312,97.98354020649802
0.63454,98.15774753124624
0.63788,98.3323577452553
0.64122,98.50737015752993
0.64456,98.68278407705434
0.6479,98.85859881282046
0.65124,99.03481367385582
0.6545799999999999,99.21142796925115
0.65792,99.38844100818756
0.6612600000000001,99.56585209996358
0.6646000000000001,99.74366055402146
0.66794,99.92186567997368
0.67128,100.10046678762858
0.67462,100.27946318701603
